
"Upper/Lower · 8 weeks";2025-01-02
"Day 1 · Upper1"
"1. Bench Press · Dumbbells";"3 sets";"15 reps"
"2. One-Arm Rows · Dumbbells";"3 sets";"15 reps"
"3. Seated Shoulder Press · Dumbbells";"3 sets";"15 reps"
"4. Butterfly with Close Grip · Machine";"2 sets";"15 reps"
"5. Lat Pulldowns with Wide Overhand Grip · Cable";"2 sets";"15 reps"
"6. Seated Lateral Raises · Dumbbells";"2 sets";"15 reps"
"7. Triceps Pushdowns · Cable";"3 sets";"15 reps"
"8. Curls · Cable";"3 sets";"15 reps"
"Day 2 · Lower1"
"1. Sumo Belt Squats · Machine";"3 sets";"15 reps"
"2. Standing Calf Raises · Bodyweight";"3 sets";"15 reps"
"3. Leg Extensions · Machine";"3 sets";"15 reps"
"4. Leg Curls on Leg Extension Machine · Machine";"3 sets";"15 reps"
"5. Hip Abduction · Cable";"3 sets";"15 reps"
"6. Double Crunch Machine · Machine";"3 sets";"15 reps"
"7. Side Plank · Bodyweight";"3 sets"
"Day 3 · Upper2"
"1. Incline Bench Press · Dumbbells";"3 sets";"15 reps"
"2. Deadlifts · Barbell";"3 sets";"15 reps"
"3. Pike Push-Ups · Bodyweight";"3 sets";"15 reps"
"4. Chest Press · Machine";"2 sets";"15 reps"
"5. Inverted Rows on Smith Machine · Bodyweight";"2 sets";"15 reps"
"6. Shoulder Press · Machine";"2 sets";"15 reps"
"7. Seated Curls · Dumbbells";"3 sets";"15 reps"
"8. Bench Dips · Bodyweight";"3 sets";"15 reps"
"Day 4 · Lower2"
"1. Leg Press · Machine";"3 sets";"15 reps"
"2. Bilateral Calf Press - Horizontal Leg Press · Machine";"3 sets";"15 reps"
"3. Hack Squats · Machine";"3 sets";"15 reps"
"4. Seated Leg Curls · Machine";"3 sets";"15 reps"
"5. Diagonal Hip Abduction · Machine";"3 sets";"15 reps"
"6. Plank · Bodyweight";"3 sets"
"7. Back Extensions on Roman Chair · Bodyweight";"3 sets";"15 reps"

"Calistenia Simplificado 0222 · 4 weeks";2024-12-23
"Day 1 · CosBi"
"1. Pull-Ups with Wide Neutral Grip · Bodyweight";"4 sets";"8 reps"
"2. Inverted Rows on Smith Machine with Reverse Grip · Bodyweight";"4 sets";"8 reps"
"3. Seated Curls · Dumbbells";"4 sets";"8 reps"
"Day 2 · PeiTriOm"
"1. Incline Archer Push-Ups · Bodyweight";"4 sets";"8 reps"
"2. Dips · Bodyweight";"4 sets";"8 reps"
"3. Pike Push-Ups · Bodyweight";"4 sets";"8 reps"
"4. Frog stand hold · Bodyweight";"4 sets";"15 sec"
"Day 3 · PerGlu"
"1. Pistol Squats · TRX";"4 sets";"8 reps"
"2. Full Nordic Curls · Bodyweight";"4 sets";"8 reps"
"3. Standing Calf Raises · Bodyweight";"4 sets";"8 reps"

"Calistenia Novo · 5 weeks";2024-11-18
"Day 1 · CosBi"
"1. Pull-Ups with Wide Neutral Grip · Bodyweight";"3 sets";"12 reps"
"2. Inverted Rows on Smith Machine with Reverse Grip · Bodyweight";"3 sets";"12 reps"
"3. Seated Curls · Dumbbells";"3 sets";"12 reps"
"4. Skin the cat · Bodyweight";"3 sets";"10 reps"
"5. One-Arm Rows · TRX";"3 sets";"10 reps"
"6. Reverse Flys · TRX";"3 sets";"10 reps"
"7. Curls with Raised Arms · TRX";"3 sets";"10 reps"
"Day 2 · PeiTriOm"
"1. Incline Archer Push-Ups · Bodyweight";"3 sets";"12 reps"
"2. Dips · Bodyweight";"3 sets";"12 reps"
"3. Pike Push-Ups · Bodyweight";"3 sets";"12 reps"
"4. Flys · TRX";"3 sets";"10 reps"
"5. Weighted L Raises · Bodyweight";"3 sets";"12 reps"
"6. Wall Handstand Hold · Bodyweight";"3 sets"
"7. Frog stand hold · Bodyweight";"3 sets"
"Day 3 · PerGlu"
"1. Pistol Squats · TRX";"3 sets";"12 reps"
"2. Negative Nordic Curls · Bodyweight";"3 sets";"12 reps"
"3. Standing Calf Raises · Bodyweight";"3 sets";"12 reps"
"4. Natural Leg Extensions · Bodyweight";"3 sets";"10 reps"
"5. Full Nordic Curls · Bodyweight";"3 sets";"10 reps"

"Enxuto - Teste dores · 1 week";2024-11-11
"Day 1 · CosBi"
"1. Lat Pulldowns with Wide Neutral Grip · Cable";"3 sets";"15 reps"
"2. One-Arm Rows · Dumbbells";"3 sets";"15 reps"
"3. Seated Curls · Dumbbells";"3 sets";"15 reps"
"Day 2 · PeiTriOm"
"1. Bench Press · Dumbbells";"3 sets";"15 reps"
"2. Triceps Pushdowns with Rope · Cable";"3 sets";"15 reps"
"3. Seated Shoulder Press · Dumbbells";"3 sets";"15 reps"
"Day 3 · PerGlu"
"1. Leg Press · Machine";"3 sets";"15 reps"
"2. Leg Curls on Leg Extension Machine · Machine";"3 sets";"15 reps"
"3. Bilateral Calf Press - Horizontal Leg Press · Machine";"3 sets";"15 reps"

"Caseiro - teste dores · 1 week";2024-11-03
"Day 1 · Remada"
"1. Rows with Close Grip · TRX";"6 sets";"10 reps"
"Day 2 · Supino"
"1. Chest Press · TRX";"6 sets";"10 reps"
"Day 3 · Agachamento"
"1. Pistol Squats · TRX";"6 sets";"10 reps"
"Day 4 · Barra"
"1. Chin-Ups · Bodyweight";"6 sets";"10 reps"
"Day 5 · Dips"
"1. Bench Dips · Bodyweight";"6 sets";"10 reps"
"Day 6 · Desenvol"
"1. Shoulder Press · TRX";"6 sets";"10 reps"

"Verão · 6 weeks";2024-10-07
