
"PerGlu · Day 3 · Week 5 · Verão · Deload";"2024-10-30 16:32 h";"1:16 hr"
"1. Leg Press · Machine · 12 reps"
#;KG;REPS
1;210;15
2;210;15
3;210;13
"2. Leg Curls on Leg Extension Machine · Machine · 12 reps"
#;KG;REPS
1;25;12
2;25;12
3;25;10
"3. Bilateral Calf Press - Horizontal Leg Press · Machine · 12 reps"
#;KG;REPS
1;110;12
2;110;12
3;110;11
"4. Diagonal Hip Abduction · Machine · 12 reps"
#;KG;REPS
1;36;10
2;36;10
3;36;10
"5. Leg Extensions · Machine · 12 reps";"Fiz na máquina da esquerda, que eu acho que tá um pouco mais pesada"
#;KG;REPS
1;73;15
2;73;10
3;73;8
"6. Seated Leg Curls · Machine · 12 reps"
#;KG;REPS
1;63;12
2;63;12
3;63;11
"7. Back Extensions on Roman Chair · Bodyweight · 12 reps"
#;KG;REPS
1;+10;10
2;+10;10

"PeiTriOm · Day 2 · Week 5 · Verão · Deload";"2024-10-29 16:39 h";"49 min"
"1. Chest Press · Machine · 12 reps"
#;KG;REPS
1;36;12
2;36;12
3;36;12
"2. Incline Bench Press · Barbell · 12 reps";"Sentindo pressão no meio da coluna. Arreguei"
#;KG;REPS
1;30;12
2;30;11
3;30;8
"3. Triceps Pushdowns · Cable · 12 reps"
#;KG;REPS
1;40;12
2;40;12
3;40;7
"4. Seated Lateral Raises · Dumbbells · 12 reps"
#;KG;REPS
1;9;12
2;9;12
3;9;10
"5. Weighted L Raises · Bodyweight · 10 reps"
#;KG;REPS
1;+2;10
2;+2;6
3;+1;5

"CosBi · Day 1 · Week 5 · Verão · Deload";"2024-10-28 16:42 h";"1:05 hr"
"1. Lat Pulldowns with Wide Neutral Grip · Cable · 12 reps"
#;KG;REPS
1;57;12
2;57;12
3;57;11
"2. Incline Rows · Dumbbells · 12 reps"
#;KG;REPS
1;16;12
2;16;12
3;16;13
"3. Reverse Butterfly with Wide Grip · Machine · 12 reps"
#;KG;REPS
1;30;10
2;30;10
3;30;10
"4. Rows with Reverse Grip · Cable · 12 reps"
#;KG;REPS
1;40;15
2;40;15
3;40;12
"5. Pullovers · Cable · 12 reps"
#;KG;REPS
1;45;12
2;45;12
3;45;14
"6. Seated Curls · Dumbbells · 12 reps"
#;KG;REPS
1;12;10
2;12;10
3;12;9
"7. Plank · Bodyweight"
#;MINS
1;1:10
2;1
3;0:40

"PerGlu · Day 3 · Week 4 · Verão · Deload";"2024-10-25 13:49 h";"1:05 hr"
"1. Leg Press · Machine · 12 reps"
#;KG;REPS
1;220;10
2;220;12
3;220;10
"2. Leg Curls on Leg Extension Machine · Machine · 12 reps"
#;KG;REPS
1;24;12
2;24;12
3;24;15
"3. Bilateral Calf Press - Horizontal Leg Press · Machine · 10 reps"
#;KG;REPS
1;105;12
2;105;12
3;105;12
"4. Diagonal Hip Abduction · Machine · 10 reps"
#;KG;REPS
1;30;10
2;30;12
3;30;12
"5. Leg Extensions · Machine · 12 reps"
#;KG;REPS
1;73;12
2;73;12
3;73;12
"6. Seated Leg Curls · Machine · 12 reps"
#;KG;REPS
1;63;12
2;63;12
3;63;10

"PeiTriOm · Day 2 · Week 4 · Verão · Deload";"2024-10-24 16:17 h";"57 min"
"1. Chest Press · Machine · 12 reps"
#;KG;REPS
1;34;12
2;34;12
3;34;15
"2. Incline Bench Press · Barbell · 12 reps"
#;KG;REPS
1;30;12
2;30;12
3;30;12
"3. Triceps Pushdowns · Cable · 12 reps"
#;KG;REPS
1;40;12
2;40;12
3;40;10
"4. Seated Lateral Raises · Dumbbells · 12 reps"
#;KG;REPS
1;9;10
2;9;10
3;9;11
"5. L Raises · Bodyweight · 12 reps"
#;REPS
1;12
2;12
3;12
"6. Pseudo Push-Ups · Bodyweight · 10 reps";"Base da mão na altura da última costela"
#;REPS
1;10
2;10
3;7

"CosBi · Day 1 · Week 4 · Verão · Deload";"2024-10-21 16:12 h";"27 min"
"1. Lat Pulldowns with Wide Neutral Grip · Cable · 12 reps"
#;KG;REPS
1;57;12
2;57;12
3;57;8
"2. One-Arm Rows · Dumbbells · 12 reps"
#;KG;REPS
1;20;12
2;20;12
"3. Seated Curls · Dumbbells · 12 reps"
#;KG;REPS
1;12;10
2;12;10

"PerGlu · Day 3 · Week 3 · Verão · Deload";"2024-10-16 15:53 h";"1:24 hr"
"1. Leg Press · Machine · 12 reps"
#;KG;REPS
1;216;12
2;216;12
3;216;15
"2. Leg Curls on Leg Extension Machine · Machine · 12 reps"
#;KG;REPS
1;24;12
2;24;12
3;24;12
"3. Calf Raises on Leg Press · Machine · 12 reps";"Leg 45"
#;KG;REPS
1;170;12
2;170;12
3;170;12
"4. Hip Abduction · Machine · 12 reps"
#;KG;REPS
1;30;12
2;30;12
3;30;15
"5. Leg Extensions · Machine · 12 reps"
#;KG;REPS
1;73;12
2;73;12
3;73;12
"6. Hip Thrusts · Barbell · 12 reps"
#;KG;REPS
1;16;12
2;16;12
3;16;12
"7. Seated Leg Curls · Machine · 12 reps"
#;KG;REPS
1;62;12
2;62;12
3;62;12

"PeiTriOm · Day 2 · Week 3 · Verão · Deload";"2024-10-15 15:25 h";"1:05 hr"
"1. Chest Press · Machine · 12 reps"
#;KG;REPS
1;32;12
2;32;12
3;32;15
"2. Incline Bench Press · Barbell · 12 reps";"Voltei a arquear as costas e facilitou consideravelmente"
#;KG;REPS
1;30;12
2;30;12
3;30;12
"3. Triceps Pushdowns · Cable · 12 reps"
#;KG;REPS
1;40;12
2;40;12
3;40;12
"4. Seated Lateral Raises · Dumbbells · 12 reps"
#;KG;REPS
1;8;12
2;8;12
3;8;15
"5. Front Raises · Dumbbells · 12 reps";"Peito apoiado no banco. Não curti muito"
#;KG;REPS
1;12;8
2;12;8
"6. Standing Shoulder Press · Barbell · 12 reps"
#;KG;REPS
1;10;20
2;12;20
3;12;18
"7. L Raises · Bodyweight · 12 reps"
#;REPS
1;12
2;12
3;12

"CosBi · Day 1 · Week 3 · Verão · Deload";"2024-10-14 16:42 h";"1:11 hr"
"1. Lat Pulldowns with Wide Neutral Grip · Cable · 12 reps"
#;KG;REPS
1;55;12
2;55;12
3;55;15
"2. One-Arm Rows · Dumbbells · 12 reps";"Senti mais cansaço e falta de fôlego do que falha muscular de fato"
#;KG;REPS
1;20;12
2;20;12
3;20;12
"3. Reverse Butterfly with Wide Grip · Machine · 12 reps"
#;KG;REPS
1;28;12
2;28;12
3;28;15
"4. Rows with Reverse Grip · Cable · 12 reps"
#;KG;REPS
1;40;12
2;40;12
3;40;15
"5. Pullovers · Cable · 12 reps"
#;KG;REPS
1;45;12
2;45;12
3;45;14
