workout_id;exercise_number;exercise_name;equipment;goal;measure;set_number;weight;total_weight;quantity;volume
202501071229;1;Sumo Belt Squats;Machine;15;reps;1;60,0;60,0;15;900,0
202501071229;1;Sumo Belt Squats;Machine;15;reps;2;60,0;60,0;15;900,0
202501071229;1;Sumo Belt Squats;Machine;15;reps;3;60,0;60,0;10;600,0
202501071229;2;Romanian Deadlifts;Barbell;10;reps;1;10,0;10,0;15;150,0
202501071229;2;Romanian Deadlifts;Barbell;10;reps;2;10,0;10,0;15;150,0
202501071229;2;Romanian Deadlifts;Barbell;10;reps;3;10,0;10,0;15;150,0
202501071229;3;Standing Calf Raises;Bodyweight;15;reps;1;5,0;5,0;15;75,0
202501071229;3;Standing Calf Raises;Bodyweight;15;reps;2;5,0;5,0;15;75,0
202501071229;3;Standing Calf Raises;Bodyweight;15;reps;3;5,0;5,0;15;75,0
202501071229;4;Leg Extensions;Machine;15;reps;1;60,0;60,0;15;900,0
202501071229;4;Leg Extensions;Machine;15;reps;2;60,0;60,0;15;900,0
202501071229;4;Leg Extensions;Machine;15;reps;3;55,0;55,0;15;825,0
202501071229;5;Leg Curls on Leg Extension Machine;Machine;15;reps;1;20,0;20,0;15;300,0
202501071229;5;Leg Curls on Leg Extension Machine;Machine;15;reps;2;20,0;20,0;15;300,0
202501071229;5;Leg Curls on Leg Extension Machine;Machine;15;reps;3;20,0;20,0;15;300,0
202501061420;1;Bench Press;Dumbbells;15;reps;1;16,0;32,0;15;240,0
202501061420;1;Bench Press;Dumbbells;15;reps;2;16,0;32,0;15;240,0
202501061420;1;Bench Press;Dumbbells;15;reps;3;16,0;32,0;13;208,0
202501061420;2;One-Arm Rows;Dumbbells;15;reps;1;14,0;28,0;15;210,0
202501061420;2;One-Arm Rows;Dumbbells;15;reps;2;14,0;28,0;15;210,0
202501061420;2;One-Arm Rows;Dumbbells;15;reps;3;14,0;28,0;15;210,0
202501061420;3;Seated Shoulder Press;Dumbbells;15;reps;1;6,0;12,0;15;90,0
202501061420;3;Seated Shoulder Press;Dumbbells;15;reps;2;6,0;12,0;15;90,0
202501061420;3;Seated Shoulder Press;Dumbbells;15;reps;3;6,0;12,0;16;96,0
202501061420;4;Butterfly with Close Grip;Machine;15;reps;1;30,0;30,0;15;450,0
202501061420;4;Butterfly with Close Grip;Machine;15;reps;2;30,0;30,0;15;450,0
202501061420;5;Lat Pulldowns with Wide Overhand Grip;Cable;15;reps;1;40,0;40,0;15;600,0
202501061420;5;Lat Pulldowns with Wide Overhand Grip;Cable;15;reps;2;40,0;40,0;15;600,0
202501061420;6;Seated Lateral Raises;Dumbbells;15;reps;1;8,0;16,0;15;120,0
202501061420;6;Seated Lateral Raises;Dumbbells;15;reps;2;8,0;16,0;15;120,0
202501061420;7;Triceps Pushdowns;Cable;15;reps;1;30,0;30,0;15;450,0
202501061420;7;Triceps Pushdowns;Cable;15;reps;2;30,0;30,0;15;450,0
202501061420;7;Triceps Pushdowns;Cable;15;reps;3;30,0;30,0;15;450,0
202501061420;8;Curls;Cable;15;reps;1;25,0;25,0;15;375,0
202501061420;8;Curls;Cable;15;reps;2;25,0;25,0;15;375,0
202501061420;8;Curls;Cable;15;reps;3;25,0;25,0;12;300,0
20250104931;1;Pull-Ups with Close Neutral Grip;Bodyweight;10;reps;1;0,0;0,0;6;0,0
20250104931;1;Pull-Ups with Close Neutral Grip;Bodyweight;10;reps;2;0,0;0,0;6;0,0
20250104931;2;Push-Ups with Wide Grip;Bodyweight;10;reps;1;0,0;0,0;15;0,0
20250104931;2;Push-Ups with Wide Grip;Bodyweight;10;reps;2;0,0;0,0;15;0,0
20250104931;3;Goblet Squats;Dumbbells;10;reps;1;10,0;20,0;15;150,0
20250104931;3;Goblet Squats;Dumbbells;10;reps;2;10,0;20,0;16;160,0
20250104931;4;Sumo Belt Squats;Machine;10;reps;1;20,0;20,0;15;300,0
20250104931;4;Sumo Belt Squats;Machine;10;reps;2;20,0;20,0;12;240,0
20250104931;4;Sumo Belt Squats;Machine;10;reps;3;40,0;40,0;10;400,0
20250104931;4;Sumo Belt Squats;Machine;10;reps;4;50,0;50,0;15;750,0
202412261418;1;Pistol Squats;TRX;8;reps;1;0,0;0,0;3;0,0
202412261418;1;Pistol Squats;TRX;8;reps;2;0,0;0,0;3;0,0
202412261418;1;Pistol Squats;TRX;8;reps;3;0,0;0,0;2;0,0
202412261418;2;Seated Leg Curls;Machine;10;reps;1;30,0;30,0;15;450,0
202412261418;2;Seated Leg Curls;Machine;10;reps;2;30,0;30,0;12;360,0
202412261418;2;Seated Leg Curls;Machine;10;reps;3;30,0;30,0;10;300,0
202412261418;3;Standing Calf Raises;Bodyweight;8;reps;1;0,0;0,0;8;0,0
202412261418;3;Standing Calf Raises;Bodyweight;8;reps;2;0,0;0,0;8;0,0
20241224936;1;Incline Archer Push-Ups;Bodyweight;8;reps;1;0,0;0,0;4;0,0
20241224936;1;Incline Archer Push-Ups;Bodyweight;8;reps;2;0,0;0,0;4;0,0
20241224936;1;Incline Archer Push-Ups;Bodyweight;8;reps;3;0,0;0,0;3;0,0
20241224936;1;Incline Archer Push-Ups;Bodyweight;8;reps;4;0,0;0,0;3;0,0
20241224936;2;Dips;Bodyweight;8;reps;1;0,0;0,0;3;0,0
20241224936;2;Dips;Bodyweight;8;reps;2;0,0;0,0;2;0,0
20241224936;2;Dips;Bodyweight;8;reps;3;0,0;0,0;2;0,0
20241224936;2;Dips;Bodyweight;8;reps;4;0,0;0,0;3;0,0
20241224936;3;Pike Push-Ups;Bodyweight;8;reps;1;0,0;0,0;3;0,0
20241224936;3;Pike Push-Ups;Bodyweight;8;reps;2;0,0;0,0;3;0,0
20241224936;3;Pike Push-Ups;Bodyweight;8;reps;3;0,0;0,0;3;0,0
20241224936;3;Pike Push-Ups;Bodyweight;8;reps;4;0,0;0,0;3;0,0
20241224936;4;Frog stand hold;Bodyweight;15;secs;1;0,0;0,0;15;0,0
20241224936;4;Frog stand hold;Bodyweight;15;secs;2;0,0;0,0;15;0,0
20241224936;4;Frog stand hold;Bodyweight;15;secs;3;0,0;0,0;15;0,0
20241224936;4;Frog stand hold;Bodyweight;15;secs;4;0,0;0,0;12;0,0
202412231317;1;Pull-Ups with Wide Neutral Grip;Bodyweight;8;reps;1;0,0;0,0;3;0,0
202412231317;1;Pull-Ups with Wide Neutral Grip;Bodyweight;8;reps;2;0,0;0,0;3;0,0
202412231317;1;Pull-Ups with Wide Neutral Grip;Bodyweight;8;reps;3;0,0;0,0;3;0,0
202412231317;1;Pull-Ups with Wide Neutral Grip;Bodyweight;8;reps;4;0,0;0,0;3;0,0
202412231317;2;Inverted Rows on Smith Machine with Reverse Grip;Bodyweight;8;reps;1;0,0;0,0;3;0,0
202412231317;2;Inverted Rows on Smith Machine with Reverse Grip;Bodyweight;8;reps;2;0,0;0,0;3;0,0
202412231317;2;Inverted Rows on Smith Machine with Reverse Grip;Bodyweight;8;reps;3;0,0;0,0;3;0,0
202412231317;2;Inverted Rows on Smith Machine with Reverse Grip;Bodyweight;8;reps;4;0,0;0,0;3;0,0
202412231317;3;Seated Curls;Dumbbells;8;reps;1;12,0;24,0;4;48,0
202412231317;3;Seated Curls;Dumbbells;8;reps;2;12,0;24,0;4;48,0
202412231317;3;Seated Curls;Dumbbells;8;reps;3;12,0;24,0;4;48,0
202412231317;3;Seated Curls;Dumbbells;8;reps;4;12,0;24,0;4;48,0
202412181722;1;Pistol Squats;TRX;12;reps;1;0,0;0,0;8;0,0
202412181722;1;Pistol Squats;TRX;12;reps;2;0,0;0,0;8;0,0
202412181722;1;Pistol Squats;TRX;12;reps;3;0,0;0,0;10;0,0
202412181722;2;Full Nordic Curls;Bodyweight;10;reps;1;0,0;0,0;6;0,0
202412181722;2;Full Nordic Curls;Bodyweight;10;reps;2;0,0;0,0;6;0,0
202412181722;2;Full Nordic Curls;Bodyweight;10;reps;3;0,0;0,0;8;0,0
202412181722;3;Standing Calf Raises;Bodyweight;12;reps;1;10,0;10,0;12;120,0
202412181722;3;Standing Calf Raises;Bodyweight;12;reps;2;10,0;10,0;12;120,0
202412181722;3;Standing Calf Raises;Bodyweight;12;reps;3;10,0;10,0;12;120,0
202412181722;4;Shrimp Squats;Bodyweight;10;reps;1;0,0;0,0;7;0,0
202412181722;4;Shrimp Squats;Bodyweight;10;reps;2;0,0;0,0;7;0,0
202412181722;4;Shrimp Squats;Bodyweight;10;reps;3;0,0;0,0;4;0,0
202412171411;1;Incline Archer Push-Ups;Bodyweight;12;reps;1;0,0;0,0;12;0,0
202412171411;1;Incline Archer Push-Ups;Bodyweight;12;reps;2;0,0;0,0;12;0,0
202412171411;1;Incline Archer Push-Ups;Bodyweight;12;reps;3;0,0;0,0;15;0,0
202412171411;2;Dips;Bodyweight;12;reps;1;0,0;0,0;5;0,0
202412171411;2;Dips;Bodyweight;12;reps;2;0,0;0,0;6;0,0
202412171411;2;Dips;Bodyweight;12;reps;3;0,0;0,0;4;0,0
202412171411;3;Frog stand hold;Bodyweight;0;secs;1;0,0;0,0;12;0,0
202412171411;3;Frog stand hold;Bodyweight;0;secs;2;0,0;0,0;9;0,0
202412171411;3;Frog stand hold;Bodyweight;0;secs;3;0,0;0,0;13;0,0
202412171411;4;Pike Push-Ups;Bodyweight;12;reps;1;0,0;0,0;6;0,0
202412171411;4;Pike Push-Ups;Bodyweight;12;reps;2;0,0;0,0;6;0,0
202412171411;4;Pike Push-Ups;Bodyweight;12;reps;3;0,0;0,0;6;0,0
202412161105;1;Pull-Ups with Wide Neutral Grip;Bodyweight;12;reps;1;0,0;0,0;7;0,0
202412161105;1;Pull-Ups with Wide Neutral Grip;Bodyweight;12;reps;2;0,0;0,0;7;0,0
202412161105;1;Pull-Ups with Wide Neutral Grip;Bodyweight;12;reps;3;0,0;0,0;6;0,0
202412161105;2;Inverted Rows on Smith Machine with Reverse Grip;Bodyweight;12;reps;1;0,0;0,0;10;0,0
202412161105;2;Inverted Rows on Smith Machine with Reverse Grip;Bodyweight;12;reps;2;0,0;0,0;10;0,0
202412161105;2;Inverted Rows on Smith Machine with Reverse Grip;Bodyweight;12;reps;3;0,0;0,0;8;0,0
202412161105;3;Seated Curls;Dumbbells;12;reps;1;12,0;24,0;8;96,0
202412161105;3;Seated Curls;Dumbbells;12;reps;2;12,0;24,0;8;96,0
202412161105;3;Seated Curls;Dumbbells;12;reps;3;12,0;24,0;8;96,0
202412051416;1;Pistol Squats;TRX;12;reps;1;0,0;0,0;8;0,0
202412051416;1;Pistol Squats;TRX;12;reps;2;0,0;0,0;8;0,0
202412051416;1;Pistol Squats;TRX;12;reps;3;0,0;0,0;8;0,0
202412051416;2;Negative Nordic Curls;Bodyweight;12;reps;1;0,0;0,0;12;0,0
202412051416;2;Negative Nordic Curls;Bodyweight;12;reps;2;0,0;0,0;10;0,0
202412051416;2;Negative Nordic Curls;Bodyweight;12;reps;3;0,0;0,0;10;0,0
202412051416;3;Standing Calf Raises;Bodyweight;12;reps;1;5,0;5,0;12;60,0
202412051416;3;Standing Calf Raises;Bodyweight;12;reps;2;5,0;5,0;12;60,0
202412051416;3;Standing Calf Raises;Bodyweight;12;reps;3;5,0;5,0;12;60,0
202412051416;4;Natural Leg Extensions;Bodyweight;10;reps;1;0,0;0,0;6;0,0
