id;custom_exercise;exercise_name;equipment;muscle_group;exercise_group;main_muscle;auxiliary_muscles;size;metrics;bodyweight;notes
archerpushups_BW;True;Archer Push-Ups;Bodyweight;Upper Body;Push-Up;Chest;Front delts, Triceps;Medium exercise;Reps;100%;
assistedchinups_MCH;False;Assisted Chin-Ups;Machine;Upper Body;Pull-Up;;;;;;
assisteddips_MCH;False;Assisted Dips;Machine;Upper Body;Dip;;;;;;
backextensionsromanchair_BW;False;Back Extensions on Roman Chair;Bodyweight;Core;Back Extension;;;;;;
benchdips_BW;False;Bench Dips;Bodyweight;Upper Body;Dip;;;;;;
benchpress_DB;False;Bench Press;Dumbbells;Upper Body;Chest Press;;;;;;
benchpress_BB;False;Bench Press;Barbell;Upper Body;Chest Press;;;;;;
bentoverrows_BB;False;Bent-Over Rows;Barbell;Upper Body;Row;;;;;;
bilateralcalfpresshorizontallegpress_MCH;True;Bilateral Calf Press - Horizontal Leg Press;Machine;Lower Body;Calf Press;Calves;-;Medium exercise;Weight + reps;0%;
bulgariansplitsquats_DB;False;Bulgarian Split Squats;Dumbbells;Lower Body;Squat;;;;;;
burpees_BW;False;Burpees;Bodyweight;Full Body;Cardio;;;;;;
butterflywithclosegrip_MCH;False;Butterfly with Close Grip;Machine;Upper Body;Fly;;;;;;
butterflywithwidegrip_MCH;False;Butterfly with Wide Grip;Machine;Upper Body;Fly;;;;;;
calfraiseslegpress_MCH;False;Calf Raises on Leg Press;Machine;Lower Body;Calf Press;;;;;;
chaircrunches_BW;True;Chair Crunches;Bodyweight;Core;Ab Crunch;Abs;-;Medium exercise;Reps;1%;
chestpress_MCH;False;Chest Press;Machine;Upper Body;Chest Press;;;;;;
chestpress_TRX;False;Chest Press;TRX;Upper Body;Chest Press;;;;;;
chestsupportedlowrowswithneutralgrip_MCH;False;Chest-Supported Low Rows with Neutral Grip;Machine;Upper Body;Row;;;;;;
chestsupportedrowswithwidegrip_MCH;False;Chest-Supported Rows with Wide Grip;Machine;Upper Body;Row;;;;;;
concentraticurls_DB;False;Concentration Curls;Dumbbells;Upper Body;Biceps Curl;;;;;;
crunchmachine_MCH;False;Crunch Machine;Machine;Core;Ab Crunch;;;;;;
curls_BB;False;Curls;Barbell;Upper Body;Biceps Curl;;;;;;
curls_CAB;False;Curls;Cable;Upper Body;Biceps Curl;;;;;;
curls_EZB;False;Curls;EZ bar;Upper Body;Biceps Curl;;;;;;
curls_DB;False;Curls;Dumbbells;Upper Body;Biceps Curl;;;;;;
curlswithraisedarms_TRX;False;Curls with Raised Arms;TRX;Upper Body;Biceps Curl;;;;;;
declinecrunches_BW;False;Decline Crunches;Bodyweight;Core;Ab Crunch;;;;;;
declinepushups_BW;True;Decline Push-Ups;Bodyweight;Upper Body;Push-Up;Chest;Front delts, Abs, Triceps;Medium exercise;Reps;100%;
diagonalhipabduction_MCH;True;Diagonal Hip Abduction;Machine;Lower Body;Hip Abduction;Abductors;Glutes;Medium exercise;Weight + reps;0%;
dips_BW;False;Dips;Bodyweight;Upper Body;Dip;;;;;;
doublecrunchmachine_MCH;False;Double Crunch Machine;Machine;Core;Ab Crunch;;;;;;
dragflag_BW;False;Dragon Flag;Bodyweight;Core;Other;;;;;;
elevateddragsquats_BW;True;Elevated Dragon Squats;Bodyweight;Lower Body;Squat;Quads;Abs, Lower back, Abductors, Adductors, Glutes, Hams, Calves;Medium exercise;Weight + reps;0%;
elevatedpikehold_BW;True;Elevated Pike hold;Bodyweight;Upper Body;Pike;Front delts;Side delts, Rear delts;Medium exercise;Duration;0%;
explosivepushups_BW;True;Explosive Push-Ups;Bodyweight;Upper Body;Push-Up;Chest;-;Medium exercise;Reps;100%;
flys_TRX;False;Flys;TRX;Upper Body;Fly;;;;;;
flys_CAB;False;Flys;Cable;Upper Body;Fly;;;;;;
flys_DB;False;Flys;Dumbbells;Upper Body;Fly;;;;;;
forwardlunges_DB;False;Forward Lunges;Dumbbells;Lower Body;Lunge;;;;;;
frogstandhold_BW;True;Frog stand hold;Bodyweight;Upper Body;Front Raise;Front delts;Side delts, Chest, Abs, Triceps, Forearms, Lower back, Adductors, Glutes;Medium exercise;Duration;0%;
frontraises_BB;False;Front Raises;Barbell;Upper Body;Front Raise;;;;;;
frontraises_DB;False;Front Raises;Dumbbells;Upper Body;Front Raise;;;;;;
fullnordiccurls_BW;True;Full Nordic Curls;Bodyweight;Lower Body;Leg Curl;Hams;Abs, Lower back, Abductors, Adductors, Glutes, Calves;Medium exercise;Weight + reps;0%;
gobletsquats_DB;False;Goblet Squats;Dumbbells;Lower Body;Squat;;;;;;
hangingkneetuckiso_BW;True;Hanging Knee Tuck - iso;Bodyweight;Core;Leg Raise;Abs;-;Medium exercise;Duration;0%;
hanginglegraises_BW;False;Hanging Leg Raises;Bodyweight;Core;Leg Raise;;;;;;
hipabduction_MCH;False;Hip Abduction;Machine;Lower Body;Hip Abduction;;;;;;
hipabduction_CAB;False;Hip Abduction;Cable;Lower Body;Hip Abduction;;;;;;
hipadduction_MCH;False;Hip Adduction;Machine;Lower Body;Hip Abduction;;;;;;
hipadduction_CAB;False;Hip Adduction;Cable;Lower Body;Hip Abduction;;;;;;
hipthrusts_BB;False;Hip Thrusts;Barbell;Lower Body;Hip Thrust;;;;;;
inclinearcherpushups_BW;True;Incline Archer Push-Ups;Bodyweight;Upper Body;Push-Up;Chest;Front delts, Triceps, Forearms;Medium exercise;Reps;100%;
inclineaustralianpullups_BW;True;Incline Australian Pull-Ups;Bodyweight;Upper Body;Row;Upper back;-;Medium exercise;Reps;100%;
inclinebenchpress_BB;False;Incline Bench Press;Barbell;Upper Body;Chest Press;;;;;;
inclinebenchpress_DB;False;Incline Bench Press;Dumbbells;Upper Body;Chest Press;;;;;;
inclinereverseflys_DB;False;Incline Reverse Flys;Dumbbells;Upper Body;Reverse Fly;;;;;;
inclinerows_DB;False;Incline Rows;Dumbbells;Upper Body;Row;;;;;;
invertedrowssmithmachine_BW;False;Inverted Rows on Smith Machine;Bodyweight;Upper Body;Row;;;;;;
invertedrowssmithmachinewithreversegrip_BW;False;Inverted Rows on Smith Machine with Reverse Grip;Bodyweight;Upper Body;Row;;;;;;
kneediamondpushups_BW;True;Knee Diamond Push-Ups;Bodyweight;Upper Body;Push-Up;Chest;Front delts, Triceps, Forearms;Medium exercise;Reps;100%;
kneelingcrunches_CAB;False;Kneeling Crunches;Cable;Core;Ab Crunch;;;;;;
lraises_BW;True;L Raises;Bodyweight;Core;Leg Raise;Abs;-;Medium exercise;Reps;100%;
lsithold_BW;True;L-Sit Hold;Bodyweight;Core;Leg Raise;Abs;-;Medium exercise;Duration;0%;
latpulldownswithcloseneutralgrip_CAB;False;Lat Pulldowns with Close Neutral Grip;Cable;Upper Body;Pulldown;;;;;;
latpulldownswithwideneutralgrip_CAB;False;Lat Pulldowns with Wide Neutral Grip;Cable;Upper Body;Pulldown;;;;;;
latpulldownswithwideoverhandgrip_CAB;False;Lat Pulldowns with Wide Overhand Grip;Cable;Upper Body;Pulldown;;;;;;
lateralraises_CAB;False;Lateral Raises;Cable;Upper Body;Lateral Raise;;;;;;
lateralraises_DB;False;Lateral Raises;Dumbbells;Upper Body;Lateral Raise;;;;;;
leanawaylateralraises_CAB;False;Lean Away Lateral Raises;Cable;Upper Body;Lateral Raise;;;;;;
legcurlslegextensimachine_MCH;False;Leg Curls on Leg Extension Machine;Machine;Lower Body;Leg Curl;;;;;;
legextensions_MCH;False;Leg Extensions;Machine;Lower Body;Leg Extension;;;;;;
legpress_MCH;False;Leg Press;Machine;Lower Body;Leg Press;;;;;;
legraises_BW;False;Leg Raises;Bodyweight;Core;Leg Raise;;;;;;
lyinglegcurls_MCH;False;Lying Leg Curls;Machine;Lower Body;Leg Curl;;;;;;
naturallegextensions_BW;True;Natural Leg Extensions;Bodyweight;Lower Body;Leg Extension;Quads;Abs, Lower back, Glutes;Medium exercise;Weight + reps;0%;
negativenordiccurls_BW;True;Negative Nordic Curls;Bodyweight;Lower Body;Leg Curl;Hams;Abs, Lower back, Abductors, Adductors, Glutes, Calves;Medium exercise;Weight + reps;0%;
onearmrows_TRX;False;One-Arm Rows;TRX;Upper Body;Row;;;;;;
onearmrows_DB;False;One-Arm Rows;Dumbbells;Upper Body;Row;;;;;;
overheadtricepsextensions_DB;False;Overhead Triceps Extensions;Dumbbells;Upper Body;Triceps Extension;;;;;;
pikepushups_BW;True;Pike Push-Ups;Bodyweight;Upper Body;Pike;Front delts;Traps, Side delts, Rear delts, Triceps;Medium exercise;Reps;100%;
pistolsquats_TRX;False;Pistol Squats;TRX;Lower Body;Squat;;;;;;
plank_BW;False;Plank;Bodyweight;Core;Plank;;;;;;
preachercurls_MCH;False;Preacher Curls;Machine;Upper Body;Biceps Curl;;;;;;
pseudoplancheleaniso_BW;True;Pseudo Planche Lean - Iso;Bodyweight;Upper Body;Push-Up;Front delts;Chest, Lats, Abs, Lower back, Glutes;Medium exercise;Duration;0%;
pseudopushups_BW;True;Pseudo Push-Ups;Bodyweight;Upper Body;Push-Up;Chest;Front delts, Triceps, Forearms;Medium exercise;Reps;100%;
pullupswithcloseneutralgrip_BW;False;Pull-Ups with Close Neutral Grip;Bodyweight;Upper Body;Pull-Up;;;;;;
pullupswithwideneutralgrip_BW;False;Pull-Ups with Wide Neutral Grip;Bodyweight;Upper Body;Pull-Up;;;;;;
pullupswithwideoverhandgrip_BW;False;Pull-Ups with Wide Overhand Grip;Bodyweight;Upper Body;Pull-Up;;;;;;
pullovers_CAB;False;Pullovers;Cable;Upper Body;Lat Pull;;;;;;
pushups_BW;False;Push-Ups;Bodyweight;Upper Body;Push-Up;;;;;;
pushupswithwidegrip_BW;False;Push-Ups with Wide Grip;Bodyweight;Upper Body;Push-Up;;;;;;
reversebutterflywithwidegrip_MCH;False;Reverse Butterfly with Wide Grip;Machine;Upper Body;Reverse Fly;;;;;;
reverseflys_TRX;False;Reverse Flys;TRX;Upper Body;Reverse Fly;;;;;;
romaniandeadlifts_BB;False;Romanian Deadlifts;Barbell;Lower Body;Deadlift;;;;;;
rowswithclosegrip_CAB;False;Rows with Close Grip;Cable;Upper Body;Row;;;;;;
rowswithclosegrip_TRX;False;Rows with Close Grip;TRX;Upper Body;Row;;;;;;
rowswithreversegrip_CAB;False;Rows with Reverse Grip;Cable;Upper Body;Row;;;;;;
rowswithwideneutralgrip_CAB;False;Rows with Wide Neutral Grip;Cable;Upper Body;Row;;;;;;
russianswings_KB;False;Russian Swings;Kettlebells;Upper Body;Row;;;;;;
russiantwists_BW;False;Russian Twists;Bodyweight;Core;Other;;;;;;
scapularpullups_BW;True;Scapular Pull-Ups;Bodyweight;Upper Body;Pull-Up;Lats;-;Medium exercise;Reps;100%;
seatedcalfraises_MCH;False;Seated Calf Raises;Machine;Lower Body;Calf Press;;;;;;
seatedcurls_DB;False;Seated Curls;Dumbbells;Upper Body;Biceps Curl;;;;;;
seatedlateralraises_DB;False;Seated Lateral Raises;Dumbbells;Upper Body;Lateral Raise;;;;;;
seatedlegcurls_MCH;False;Seated Leg Curls;Machine;Lower Body;Leg Curl;;;;;;
seatedshoulderpress_DB;False;Seated Shoulder Press;Dumbbells;Upper Body;Shoulder Press;;;;;;
seatedshoulderpress_BB;False;Seated Shoulder Press;Barbell;Upper Body;Shoulder Press;;;;;;
shoulderpress_MCH;False;Shoulder Press;Machine;Upper Body;Shoulder Press;;;;;;
shrimpsquats_BW;True;Shrimp Squats;Bodyweight;Lower Body;Squat;Quads;Abs, Lower back, Abductors, Adductors, Glutes, Hams, Calves;Medium exercise;Weight + reps;0%;
sidebendsromanchair_BW;False;Side Bends on Roman Chair;Bodyweight;Core;Side Abs;;;;;;
sideplank_BW;False;Side Plank;Bodyweight;Core;Side Abs;;;;;;
sidesplitsquats_DB;False;Side Split Squats;Dumbbells;Lower Body;Squat;;;;;;
singleleghipthrust_BW;True;Single Leg Hip Thrust;Bodyweight;Lower Body;Hip Thrust;Glutes;Abs, Abductors, Adductors, Quads, Hams;Medium exercise;Reps;100%;
singlelegdeadlift_BW;True;Single leg deadlift;Bodyweight;Lower Body;Other;Hams;Abs, Lower back, Abductors, Adductors, Glutes, Quads, Calves;Medium exercise;Reps;100%;
skinthecat_BW;True;Skin the cat;Bodyweight;Upper Body;Lat Pull;Lats;Chest, Biceps, Forearms;Medium exercise;Reps;100%;
skullcrushers_CAB;False;Skull Crushers;Cable;Upper Body;Triceps Extension;;;;;;
skullcrushers_EZB;False;Skull Crushers;EZ bar;Upper Body;Triceps Extension;;;;;;
skydiver_BW;True;Skydiver;Bodyweight;Core;Back Extension;Lower back;-;Small exercise;Reps;1%;
skydiveriso_BW;True;Skydiver - Iso;Bodyweight;Core;Back Extension;Lower back;-;Medium exercise;Duration;0%;
