custom_exercise,exercise_name,equipment,muscle_group,exercise_group,main_muscle,auxiliary_muscles,size,metrics,bodyweight,notes
TRUE,Archer Push-Ups,Bodyweight,Upper Body,Push-Up,Chest,"Front delts, Triceps",Medium exercise,Reps,100%,
TRUE,Bilateral Calf Press - Horizontal Leg Press,Machine,Lower Body,Calf Raise / Press,Calves,-,Medium exercise,Weight + reps,0%,
TRUE,Chair Crunches,Bodyweight,Core,Ab Crunch,Abs,-,Medium exercise,Reps,1%,
TRUE,Decline Push-Ups,Bodyweight,Upper Body,Push-Up,Chest,"Front delts, Abs, Triceps",Medium exercise,Reps,100%,
TRUE,Diagonal Hip Abduction,Machine,Lower Body,Hip Abduction,Abductors,Glutes,Medium exercise,Weight + reps,0%,
TRUE,Elevated Pike hold,Bodyweight,Upper Body,Pike / Handstand,Front delts,"Side delts, Rear delts",Medium exercise,Duration,0%,
TRUE,Explosive Push-Ups,Bodyweight,Upper Body,Push-Up,Chest,-,Medium exercise,Reps,100%,
TRUE,Hanging Knee Tuck - iso,Bodyweight,Core,Leg Raise,Abs,-,Medium exercise,Duration,0%,
TRUE,Incline Archer Push-Ups,Bodyweight,Upper Body,Push-Up,Chest,"Front delts, Triceps, Forearms",Medium exercise,Reps,100%,
TRUE,Incline Australian Pull-Ups,Bodyweight,Upper Body,Row,Upper back,-,Medium exercise,Reps,100%,
TRUE,Knee Diamond Push-Ups,Bodyweight,Upper Body,Push-Up,Chest,"Front delts, Triceps, Forearms",Medium exercise,Reps,100%,
TRUE,L Raises,Bodyweight,Core,Leg Raise,Abs,-,Medium exercise,Reps,100%,
TRUE,L-Sit Hold,Bodyweight,Core,Leg Raise,Abs,-,Medium exercise,Duration,0%,
TRUE,Pike Push-Ups,Bodyweight,Upper Body,Pike / Handstand,Front delts,"Side delts, Rear delts",Medium exercise,Reps,100%,
TRUE,Pseudo Planche Lean - Iso,Bodyweight,Upper Body,Push-Up,Front delts,"Chest, Lats, Abs, Lower back, Glutes",Medium exercise,Duration,0%,
TRUE,Pseudo Push-Ups,Bodyweight,Upper Body,Push-Up,Chest,"Front delts, Triceps, Forearms",Medium exercise,Reps,100%,
TRUE,Scapular Pull-Ups,Bodyweight,Upper Body,Pull-Up,Lats,-,Medium exercise,Reps,100%,
TRUE,Single Leg Hip Thrust,Bodyweight,Lower Body,Hip Thrust,Glutes,"Abs, Abductors, Adductors, Quads, Hams",Medium exercise,Reps,100%,
TRUE,Single leg deadlift,Bodyweight,Lower Body,Other,Hams,"Abs, Lower back, Abductors, Adductors, Glutes, Quads, Calves",Medium exercise,Reps,100%,
TRUE,Skin the cat,Bodyweight,Upper Body,Lat Pull,Lats,"Chest, Biceps, Forearms",Medium exercise,Reps,100%,
TRUE,Skydiver,Bodyweight,Core,Back Extension,Lower back,-,Small exercise,Reps,1%,
TRUE,Skydiver - Iso,Bodyweight,Core,Back Extension,Lower back,-,Medium exercise,Duration,0%,
TRUE,Weighted L Raises,Bodyweight,Core,Leg Raise,Abs,-,Medium exercise,Weight + reps,100%,
FALSE,Assisted Chin-Ups,Machine,Upper Body,Pull-Up,Lats,"Upper back, Rear delts, Biceps, Forearms",,,,
FALSE,Assisted Dips,Machine,Upper Body,Dip,Triceps,,,,,
FALSE,Back Extensions on Roman Chair,Bodyweight,Core,Back Extension,Lower back,,,,,
FALSE,Bench Dips,Bodyweight,Upper Body,Dip,Triceps,,,,,
FALSE,Bench Press,Barbell,Upper Body,Chest Press,Chest,,,,,
FALSE,Bench Press,Dumbbells,Upper Body,Chest Press,Chest,,,,,
FALSE,Bent-Over Rows,Barbell,Upper Body,Row,Upper back,,,,,
FALSE,Bulgarian Split Squats,Dumbbells,Lower Body,Squat,Quads,,,,,
FALSE,Burpees,Bodyweight,Full Body,Cardio,Heart,,,,,
FALSE,Butterfly with Close Grip,Machine,Upper Body,Fly,Chest,,,,,
FALSE,Butterfly with Wide Grip,Machine,Upper Body,Fly,Chest,,,,,
FALSE,Calf Raises on Leg Press,Machine,Lower Body,Calf Raise / Press,Calves,,,,,
