id;day_name;day_number;week_number;plan_name;plan_function;start_time;duration;end_time
202501071229;Lower1;2;1;UpperLower;;2025-01-07 12:29:00;66;2025-01-07 13:35:00
202501061420;Upper1;1;1;UpperLower;;2025-01-06 14:20:00;64;2025-01-06 15:24:00
20250104931;Standalone workout;0;0;Standalone;;2025-01-04 09:31:00;37;2025-01-04 10:08:00
202412261418;PerGlu;3;1;Calistenia Simplificado 0222;;2024-12-26 14:18:00;45;2024-12-26 15:03:00
20241224936;PeiTriOm;2;1;Calistenia Simplificado 0222;;2024-12-24 09:36:00;56;2024-12-24 10:32:00
202412231317;CosBi;1;1;Calistenia Simplificado 0222;;2024-12-23 13:17:00;45;2024-12-23 14:02:00
202412181722;PerGlu;3;5;Calistenia Novo;;2024-12-18 17:22:00;42;2024-12-18 18:04:00
202412171411;PeiTriOm;2;5;Calistenia Novo;;2024-12-17 14:11:00;33;2024-12-17 14:44:00
202412161105;CosBi;1;5;Calistenia Novo;;2024-12-16 11:05:00;28;2024-12-16 11:33:00
202412051416;PerGlu;3;4;Calistenia Novo;;2024-12-05 14:16:00;44;2024-12-05 15:00:00
20241204721;PeiTriOm;2;4;Calistenia Novo;;2024-12-04 07:21:00;61;2024-12-04 08:22:00
202412031617;CosBi;1;4;Calistenia Novo;;2024-12-03 16:17:00;51;2024-12-03 17:08:00
202412021027;PerGlu;3;3;Calistenia Novo;;2024-12-02 10:27:00;49;2024-12-02 11:16:00
202411291140;PeiTriOm;2;3;Calistenia Novo;;2024-11-29 11:40:00;45;2024-11-29 12:25:00
202411281441;CosBi;1;3;Calistenia Novo;;2024-11-28 14:41:00;50;2024-11-28 15:31:00
202411271455;PerGlu;3;2;Calistenia Novo;;2024-11-27 14:55:00;50;2024-11-27 15:45:00
202411261406;PeiTriOm;2;2;Calistenia Novo;;2024-11-26 14:06:00;47;2024-11-26 14:53:00
202411251515;CosBi;1;2;Calistenia Novo;;2024-11-25 15:15:00;39;2024-11-25 15:54:00
202411201624;PerGlu;3;1;Calistenia Novo;;2024-11-20 16:24:00;47;2024-11-20 17:11:00
202411191651;PeiTriOm;2;1;Calistenia Novo;;2024-11-19 16:51:00;54;2024-11-19 17:45:00
202411181722;CosBi;1;1;Calistenia Novo;;2024-11-18 17:22:00;37;2024-11-18 17:59:00
202411131632;PerGlu;3;1;Enxuto - Teste dores;;2024-11-13 16:32:00;30;2024-11-13 17:02:00
202411121655;PeiTriOm;2;1;Enxuto - Teste dores;;2024-11-12 16:55:00;27;2024-11-12 17:22:00
202411111634;CosBi;1;1;Enxuto - Teste dores;;2024-11-11 16:34:00;27;2024-11-11 17:01:00
202411051705;Supino;2;1;Caseiro - teste dores;;2024-11-05 17:05:00;13;2024-11-05 17:18:00
202411041720;Remada;1;1;Caseiro - teste dores;;2024-11-04 17:20:00;11;2024-11-04 17:31:00
202411011618;PeiTriOm;2;6;Verão;;2024-11-01 16:18:00;38;2024-11-01 16:56:00
202410311648;CosBi;1;6;Verão;;2024-10-31 16:48:00;52;2024-10-31 17:40:00
202410301632;PerGlu;3;5;Verão;;2024-10-30 16:32:00;76;2024-10-30 17:48:00
202410291639;PeiTriOm;2;5;Verão;;2024-10-29 16:39:00;49;2024-10-29 17:28:00
202410281642;CosBi;1;5;Verão;;2024-10-28 16:42:00;65;2024-10-28 17:47:00
202410251349;PerGlu;3;4;Verão;;2024-10-25 13:49:00;65;2024-10-25 14:54:00
202410241617;PeiTriOm;2;4;Verão;;2024-10-24 16:17:00;57;2024-10-24 17:14:00
202410211612;CosBi;1;4;Verão;;2024-10-21 16:12:00;27;2024-10-21 16:39:00
202410161553;PerGlu;3;3;Verão;;2024-10-16 15:53:00;84;2024-10-16 17:17:00
202410151525;PeiTriOm;2;3;Verão;;2024-10-15 15:25:00;65;2024-10-15 16:30:00
202410141642;CosBi;1;3;Verão;;2024-10-14 16:42:00;71;2024-10-14 17:53:00
202410121000;PerGlu;3;2;Verão;;2024-10-12 10:00:00;71;2024-10-12 11:11:00
202410111615;PeiTriOm;2;2;Verão;;2024-10-11 16:15:00;59;2024-10-11 17:14:00
202410101639;CosBi;1;2;Verão;;2024-10-10 16:39:00;65;2024-10-10 17:44:00
