workout_id;start_time;week;month;exercise_number;exercise_name;equipment;muscle_group;exercise_group;main_muscle;goal;measure;set_number;weight;total_weight;quantity;volume
202410301632;2024-10-30 16:32:00;2024-10-28 16:32:00;2024-10-01;1;Leg Press;Machine;Lower Body;Leg Press;Quads;12;reps;1;210,0;210,0;15;3150,0
202410301632;2024-10-30 16:32:00;2024-10-28 16:32:00;2024-10-01;1;Leg Press;Machine;Lower Body;Leg Press;Quads;12;reps;2;210,0;210,0;15;3150,0
202410301632;2024-10-30 16:32:00;2024-10-28 16:32:00;2024-10-01;1;Leg Press;Machine;Lower Body;Leg Press;Quads;12;reps;3;210,0;210,0;13;2730,0
202410301632;2024-10-30 16:32:00;2024-10-28 16:32:00;2024-10-01;2;Leg Curls on Leg Extension Machine;Machine;Lower Body;Leg Curl;Hams;12;reps;1;25,0;25,0;12;300,0
202410301632;2024-10-30 16:32:00;2024-10-28 16:32:00;2024-10-01;2;Leg Curls on Leg Extension Machine;Machine;Lower Body;Leg Curl;Hams;12;reps;2;25,0;25,0;12;300,0
202410301632;2024-10-30 16:32:00;2024-10-28 16:32:00;2024-10-01;2;Leg Curls on Leg Extension Machine;Machine;Lower Body;Leg Curl;Hams;12;reps;3;25,0;25,0;10;250,0
202410301632;2024-10-30 16:32:00;2024-10-28 16:32:00;2024-10-01;3;Bilateral Calf Press - Horizontal Leg Press;Machine;Lower Body;Calf Raise / Press;Calves;12;reps;1;110,0;110,0;12;1320,0
202410301632;2024-10-30 16:32:00;2024-10-28 16:32:00;2024-10-01;3;Bilateral Calf Press - Horizontal Leg Press;Machine;Lower Body;Calf Raise / Press;Calves;12;reps;2;110,0;110,0;12;1320,0
202410301632;2024-10-30 16:32:00;2024-10-28 16:32:00;2024-10-01;3;Bilateral Calf Press - Horizontal Leg Press;Machine;Lower Body;Calf Raise / Press;Calves;12;reps;3;110,0;110,0;11;1210,0
202410301632;2024-10-30 16:32:00;2024-10-28 16:32:00;2024-10-01;4;Diagonal Hip Abduction;Machine;Lower Body;Hip Abduction;Abductors;12;reps;1;36,0;36,0;10;360,0
202410301632;2024-10-30 16:32:00;2024-10-28 16:32:00;2024-10-01;4;Diagonal Hip Abduction;Machine;Lower Body;Hip Abduction;Abductors;12;reps;2;36,0;36,0;10;360,0
202410301632;2024-10-30 16:32:00;2024-10-28 16:32:00;2024-10-01;4;Diagonal Hip Abduction;Machine;Lower Body;Hip Abduction;Abductors;12;reps;3;36,0;36,0;10;360,0
202410301632;2024-10-30 16:32:00;2024-10-28 16:32:00;2024-10-01;5;Leg Extensions;Machine;Lower Body;Leg Extension;Quads;12;reps;1;73,0;73,0;15;1095,0
202410301632;2024-10-30 16:32:00;2024-10-28 16:32:00;2024-10-01;5;Leg Extensions;Machine;Lower Body;Leg Extension;Quads;12;reps;2;73,0;73,0;10;730,0
202410301632;2024-10-30 16:32:00;2024-10-28 16:32:00;2024-10-01;5;Leg Extensions;Machine;Lower Body;Leg Extension;Quads;12;reps;3;73,0;73,0;8;584,0
202410301632;2024-10-30 16:32:00;2024-10-28 16:32:00;2024-10-01;6;Seated Leg Curls;Machine;Lower Body;Leg Curl;Hams;12;reps;1;63,0;63,0;12;756,0
