workout_id;exercise_number;exercise_name;equipment;reps_goal;set_number;weigth;quantity;measure;comments
202408231913;1;Leg Press;Machine;12 reps;1;206;12;reps;[]
202408231913;1;Leg Press;Machine;12 reps;2;206;12;reps;[]
202408231913;1;Leg Press;Machine;12 reps;3;210;15;reps;[]
202408231913;2;Seated Leg Curls;Machine;12 reps;1;65;12;reps;"""Troquei de ordem com o outro desse"""
202408231913;2;Seated Leg Curls;Machine;12 reps;2;65;12;reps;"""Troquei de ordem com o outro desse"""
202408231913;2;Seated Leg Curls;Machine;12 reps;3;65;12;reps;"""Troquei de ordem com o outro desse"""
202408231913;3;Hip Abduction;Cable;12 reps;1;18;12;reps;[]
202408231913;3;Hip Abduction;Cable;12 reps;2;18;12;reps;[]
202408231913;3;Hip Abduction;Cable;12 reps;3;18;9;reps;[]
202408231913;4;Leg Extensions;Machine;12 reps;1;70;12;reps;[]
202408231913;4;Leg Extensions;Machine;12 reps;2;70;12;reps;[]
202408231913;4;Leg Extensions;Machine;12 reps;3;70;15;reps;[]
202408231913;5;Leg Curls on Leg Extension Machine;Machine;12 reps;1;25;12;reps;"""Fiz por último, troquei de ordem com o outro"""
202408231913;5;Leg Curls on Leg Extension Machine;Machine;12 reps;2;25;10;reps;"""Fiz por último, troquei de ordem com o outro"""
202408231913;5;Leg Curls on Leg Extension Machine;Machine;12 reps;3;25;8;reps;"""Fiz por último, troquei de ordem com o outro"""
202408221648;1;Chest Press;Machine;12 reps;1;26;12;reps;[]
202408221648;1;Chest Press;Machine;12 reps;2;26;12;reps;[]
202408221648;1;Chest Press;Machine;12 reps;3;26;15;reps;[]
202408221648;2;Incline Bench Press;Dumbbells;12 reps;1;14;12;reps;[]
202408221648;2;Incline Bench Press;Dumbbells;12 reps;2;14;12;reps;[]
202408221648;2;Incline Bench Press;Dumbbells;12 reps;3;14;9;reps;[]
202408221648;3;Dips;Bodyweight;12 reps;1;+0;10;reps;"""Altura 15, uns 3 dedos acima do cotovelo. Descendo até encostar a ponta do pé no chão"""
202408221648;3;Dips;Bodyweight;12 reps;2;+0;8;reps;"""Altura 15, uns 3 dedos acima do cotovelo. Descendo até encostar a ponta do pé no chão"""
202408221648;3;Dips;Bodyweight;12 reps;3;+0;5;reps;"""Altura 15, uns 3 dedos acima do cotovelo. Descendo até encostar a ponta do pé no chão"""
202408221648;4;Lean Away Lateral Raises;Cable;12 reps;1;5;15;reps;[]
202408221648;4;Lean Away Lateral Raises;Cable;12 reps;2;7;8;reps;[]
202408221648;4;Lean Away Lateral Raises;Cable;12 reps;3;5;11;reps;[]
202408221648;5;Butterfly with Wide Grip;Machine;10 reps;1;47;12;reps;[]
202408221648;5;Butterfly with Wide Grip;Machine;10 reps;2;47;12;reps;[]
202408221648;5;Butterfly with Wide Grip;Machine;10 reps;3;47;12;reps;[]
202408221648;6;Pike Pushup;Bodyweight;12 reps;1;;4;reps;"""Não tô conseguindo fazer isso direito, vou ter que mudar alguma coisa"""
202408221648;6;Pike Pushup;Bodyweight;12 reps;2;;2;reps;"""Não tô conseguindo fazer isso direito, vou ter que mudar alguma coisa"""
202408221648;7;Pseudo Planche Lean iso;Bodyweight;;1;;12;secs;[]
202408221648;7;Pseudo Planche Lean iso;Bodyweight;;2;;12;secs;[]
202408221648;7;Pseudo Planche Lean iso;Bodyweight;;3;;17;secs;[]
202408221648;7;Pseudo Planche Lean iso;Bodyweight;;4;;6;secs;[]
202408201621;1;Lat Pulldowns with Wide Overhand Grip;Cable;12 reps;1;60;12;reps;[]
202408201621;1;Lat Pulldowns with Wide Overhand Grip;Cable;12 reps;2;60;12;reps;[]
202408201621;1;Lat Pulldowns with Wide Overhand Grip;Cable;12 reps;3;60;8;reps;[]
202408201621;2;One-Arm Rows;Dumbbells;12 reps;1;20;12;reps;[]
202408201621;2;One-Arm Rows;Dumbbells;12 reps;2;20;12;reps;[]
202408201621;2;One-Arm Rows;Dumbbells;12 reps;3;20;12;reps;[]
202408201621;3;Reverse Butterfly with Wide Grip;Machine;12 reps;1;30;10;reps;[]
202408201621;3;Reverse Butterfly with Wide Grip;Machine;12 reps;2;30;10;reps;[]
202408201621;3;Reverse Butterfly with Wide Grip;Machine;12 reps;3;30;10;reps;[]
202408201621;4;Pullovers;Cable;12 reps;1;47;12;reps;[]
202408201621;4;Pullovers;Cable;12 reps;2;47;12;reps;[]
202408201621;4;Pullovers;Cable;12 reps;3;47;11;reps;[]
202408201621;5;Seated Curls;Dumbbells;12 reps;1;10;12;reps;[]
202408201621;5;Seated Curls;Dumbbells;12 reps;2;10;12;reps;[]
202408201621;5;Seated Curls;Dumbbells;12 reps;3;10;15;reps;[]
202408161902;1;Leg Press;Machine;10 reps;1;200;12;reps;[]
202408161902;1;Leg Press;Machine;10 reps;2;200;12;reps;[]
202408161902;1;Leg Press;Machine;10 reps;3;200;15;reps;[]
202408161902;2;Calf Raises on Leg Press;Machine;10 reps;1;166;10;reps;[]
202408161902;2;Calf Raises on Leg Press;Machine;10 reps;2;166;12;reps;[]
202408161902;2;Calf Raises on Leg Press;Machine;10 reps;3;166;12;reps;[]
202408161902;3;Leg Curls on Leg Extension Machine;Machine;10 reps;1;27;8;reps;[]
202408161902;3;Leg Curls on Leg Extension Machine;Machine;10 reps;2;27;8;reps;[]
202408161902;3;Leg Curls on Leg Extension Machine;Machine;10 reps;3;27;7;reps;[]
202408161902;4;Hip Abduction;Cable;10 reps;1;20;8;reps;[]
202408161902;4;Hip Abduction;Cable;10 reps;2;20;8;reps;[]
202408161902;4;Hip Abduction;Cable;10 reps;3;20;8;reps;[]
202408161902;5;Leg Extensions;Machine;10 reps;1;75;10;reps;[]
202408161902;5;Leg Extensions;Machine;10 reps;2;75;10;reps;[]
202408161902;5;Leg Extensions;Machine;10 reps;3;75;10;reps;[]
202408161902;6;Seated Leg Curls;Machine;10 reps;1;70;8;reps;[]
202408161902;6;Seated Leg Curls;Machine;10 reps;2;70;8;reps;[]
202408161902;6;Seated Leg Curls;Machine;10 reps;3;70;8;reps;[]
202408151652;1;Flexão arqueiro smith;Bodyweight;10 reps;1;;10;reps;[]
202408151652;1;Flexão arqueiro smith;Bodyweight;10 reps;2;;8;reps;[]
202408151652;1;Flexão arqueiro smith;Bodyweight;10 reps;3;;7;reps;[]
202408151652;2;Dips;Bodyweight;10 reps;1;+0;10;reps;[]
202408151652;2;Dips;Bodyweight;10 reps;2;+0;7;reps;[]
202408151652;2;Dips;Bodyweight;10 reps;3;+0;4;reps;[]
202408151652;3;Decline pushup;Bodyweight;10 reps;1;;10;reps;[]
202408151652;3;Decline pushup;Bodyweight;10 reps;2;;7;reps;[]
202408151652;3;Decline pushup;Bodyweight;10 reps;3;;6;reps;[]
202408151652;4;Seated Lateral Raises;Dumbbells;10 reps;1;10;8;reps;[]
202408151652;4;Seated Lateral Raises;Dumbbells;10 reps;2;10;7;reps;[]
202408151652;4;Seated Lateral Raises;Dumbbells;10 reps;3;10;7;reps;[]
202408141652;1;Pull-Ups with Wide Overhand Grip;Bodyweight;10 reps;1;+0;10;reps;[]
202408141652;1;Pull-Ups with Wide Overhand Grip;Bodyweight;10 reps;2;+0;6;reps;[]
202408141652;1;Pull-Ups with Wide Overhand Grip;Bodyweight;10 reps;3;+0;5;reps;[]
202408141652;2;Inverted Rows on Smith Machine with Reverse Grip;Bodyweight;10 reps;1;+0;5;reps;"""Barra altura 10, 3 apoios"""
202408141652;2;Inverted Rows on Smith Machine with Reverse Grip;Bodyweight;10 reps;2;+0;5;reps;"""Barra altura 10, 3 apoios"""
202408141652;2;Inverted Rows on Smith Machine with Reverse Grip;Bodyweight;10 reps;3;+0;4;reps;"""Barra altura 10, 3 apoios"""
202408141652;3;Reverse Butterfly with Wide Grip;Machine;10 reps;1;28;12;reps;[]
202408141652;3;Reverse Butterfly with Wide Grip;Machine;10 reps;2;28;12;reps;[]
202408141652;3;Reverse Butterfly with Wide Grip;Machine;10 reps;3;28;15;reps;[]
202408141652;4;Pullovers;Cable;10 reps;1;50;8;reps;[]
202408141652;4;Pullovers;Cable;10 reps;2;50;8;reps;[]
202408141652;4;Pullovers;Cable;10 reps;3;50;10;reps;[]
202408141652;5;Curls;Barbell;10 reps;1;22;10;reps;[]
202408141652;5;Curls;Barbell;10 reps;2;22;10;reps;[]
202408141652;5;Curls;Barbell;10 reps;3;22;10;reps;[]
202408141652;6;L sit hold iso;Bodyweight;30 sec;1;;13;secs;[]
202408141652;6;L sit hold iso;Bodyweight;30 sec;2;;10;secs;[]
202408141652;6;L sit hold iso;Bodyweight;30 sec;3;;6;secs;[]
202408091236;1;Leg Press;Machine;10 reps;1;200;12;reps;[]
202408091236;1;Leg Press;Machine;10 reps;2;200;12;reps;[]
202408091236;1;Leg Press;Machine;10 reps;3;200;10;reps;[]
202408091236;2;Leg Curls on Leg Extension Machine;Machine;10 reps;1;26;10;reps;[]
202408091236;2;Leg Curls on Leg Extension Machine;Machine;10 reps;2;26;10;reps;[]
202408091236;2;Leg Curls on Leg Extension Machine;Machine;10 reps;3;26;10;reps;[]
202408091236;3;Seated Calf Raises;Machine;10 reps;1;62;10;reps;[]
202408091236;3;Seated Calf Raises;Machine;10 reps;2;62;10;reps;[]
202408091236;3;Seated Calf Raises;Machine;10 reps;3;62;12;reps;[]
202408091236;4;Hip Abduction;Cable;10 reps;1;18;10;reps;[]
202408091236;4;Hip Abduction;Cable;10 reps;2;18;10;reps;[]
202408091236;4;Hip Abduction;Cable;10 reps;3;18;10;reps;[]
202408071639;1;Flexão arqueiro smith;Bodyweight;10 reps;1;;8;reps;"""Barras novas, altura 5. Pouquinho abaixo do joelho. Depois aumentei pra 6, linha do joelho"""
202408071639;1;Flexão arqueiro smith;Bodyweight;10 reps;2;;6;reps;"""Barras novas, altura 5. Pouquinho abaixo do joelho. Depois aumentei pra 6, linha do joelho"""
202408071639;1;Flexão arqueiro smith;Bodyweight;10 reps;3;;6;reps;"""Barras novas, altura 5. Pouquinho abaixo do joelho. Depois aumentei pra 6, linha do joelho"""
202408071639;2;Dips;Bodyweight;10 reps;1;+0;8;reps;[]
202408071639;2;Dips;Bodyweight;10 reps;2;+0;6;reps;[]
202408071639;2;Dips;Bodyweight;10 reps;3;+0;5;reps;[]
202408071639;3;Seated Lateral Raises;Dumbbells;10 reps;1;9;10;reps;[]
202408071639;3;Seated Lateral Raises;Dumbbells;10 reps;2;9;10;reps;[]
202408071639;3;Seated Lateral Raises;Dumbbells;10 reps;3;9;12;reps;[]
202408071639;4;Pike Pushup;Bodyweight;10 reps;1;;4;reps;"""Achando difícil pra caralho, desisti"""
202408071639;4;Pike Pushup;Bodyweight;10 reps;2;;2;reps;"""Achando difícil pra caralho, desisti"""
202408071639;5;Pseudo Planche Lean iso;Bodyweight;;1;;10;secs;"""Um palmo abaixo da linha do ombro"""
