custom_exercise;exercise_name;equipment;muscle_group;exercise_group;main_muscle;auxiliary_muscles;size;metrics;bodyweight;notes
True;Archer Push-Ups;Bodyweight;;;Chest;Front delts, Triceps;Medium exercise;Reps;100%;
True;Bilateral Calf Press - Horizontal Leg Press;Machine;;;Calves;-;Medium exercise;Weight + reps;0%;
True;Chair Crunches;Bodyweight;;;Abs;-;Medium exercise;Reps;1%;
True;Decline Push-Ups;Bodyweight;;;Chest;Front delts, Abs, Triceps;Medium exercise;Reps;100%;
True;Diagonal Hip Abduction;Machine;;;Abductors;Glutes;Medium exercise;Weight + reps;0%;
True;Elevated Pike hold;Bodyweight;;;Front delts;Side delts, Rear delts;Medium exercise;Duration;0%;
True;Explosive Push-Ups;Bodyweight;;;Chest;-;Medium exercise;Reps;100%;
True;Hanging Knee Tuck - iso;Bodyweight;;;Abs;-;Medium exercise;Duration;0%;
True;Incline Archer Pull-Ups - Iso;Bodyweight;;;Lats;Upper back, Biceps, Forearms;Medium exercise;Duration;0%;
True;Incline Archer Push-Ups;Bodyweight;;;Chest;Front delts, Triceps, Forearms;Medium exercise;Reps;100%;
True;Incline Australian Pull-Ups;Bodyweight;;;Upper back;-;Medium exercise;Reps;100%;
True;Knee Diamond Push-Ups;Bodyweight;;;Chest;Front delts, Triceps, Forearms;Medium exercise;Reps;100%;
True;L Raises;Bodyweight;;;Abs;-;Medium exercise;Reps;100%;
True;L-Sit Hold;Bodyweight;;;Abs;-;Medium exercise;Duration;0%;
True;Pike Push-Ups;Bodyweight;;;Front delts;Side delts, Rear delts;Medium exercise;Reps;100%;
True;Pseudo Planche Lean - Iso;Bodyweight;;;Front delts;Chest, Lats, Abs, Lower back, Glutes;Medium exercise;Duration;0%;
True;Pseudo Push-Ups;Bodyweight;;;Chest;Front delts, Triceps, Forearms;Medium exercise;Reps;100%;
True;Scapular Pull-Ups;Bodyweight;;;Lats;-;Medium exercise;Reps;100%;
True;Single Leg Hip Thrust;Bodyweight;;;Glutes;Abs, Abductors, Adductors, Quads, Hams;Medium exercise;Reps;100%;
True;Single leg deadlift;Bodyweight;;;Hams;Abs, Lower back, Abductors, Adductors, Glutes, Quads, Calves;Medium exercise;Reps;100%;
True;Skin the cat;Bodyweight;;;Lats;Chest, Biceps, Forearms;Medium exercise;Reps;100%;
True;Skydiver;Bodyweight;;;Lower back;-;Small exercise;Reps;1%;
True;Skydiver - Iso;Bodyweight;;;Lower back;-;Medium exercise;Duration;0%;
True;Weighted L Raises;Bodyweight;;;Abs;-;Medium exercise;Weight + reps;100%;
False;Assisted Chin-Ups;Machine;;;;;;;;
False;Assisted Dips;Machine;;;;;;;;
False;Back Extensions on Roman Chair;Bodyweight;;;;;;;;
False;Bench Dips;Bodyweight;;;;;;;;
False;Bench Press;Barbell;;;;;;;;
False;Bench Press;Dumbbells;;;;;;;;
False;Bent-Over Rows;Barbell;;;;;;;;
False;Bulgarian Split Squats;Dumbbells;;;;;;;;
False;Burpees;Bodyweight;;;;;;;;
False;Butterfly with Close Grip;Machine;;;;;;;;
False;Butterfly with Wide Grip;Machine;;;;;;;;
False;Calf Raises on Leg Press;Machine;;;;;;;;
False;Chest Press;Machine;;;;;;;;
False;Chest-Supported Low Rows with Neutral Grip;Machine;;;;;;;;
False;Chest-Supported Rows with Wide Grip;Machine;;;;;;;;
False;Concentration Curls;Dumbbells;;;;;;;;
False;Crunch Machine;Machine;;;;;;;;
False;Curls;Barbell;;;;;;;;
False;Curls;Cable;;;;;;;;
False;Curls;Dumbbells;;;;;;;;
False;Curls;EZ bar;;;;;;;;
False;Decline Crunches;Bodyweight;;;;;;;;
False;Dips;Bodyweight;;;;;;;;
False;Double Crunch Machine;Machine;;;;;;;;
False;Dragon Flag;Bodyweight;;;;;;;;
False;Flys;Cable;;;;;;;;
False;Flys;Dumbbells;;;;;;;;
False;Forward Lunges;Dumbbells;;;;;;;;
False;Front Raises;Barbell;;;;;;;;
False;Front Raises;Dumbbells;;;;;;;;
False;Goblet Squats;Dumbbells;;;;;;;;
False;Hanging Leg Raises;Bodyweight;;;;;;;;
False;Hip Abduction;Cable;;;;;;;;
